reit_name,document_type,document_name,document_date,source_url,local_cache_path,sha256,downloaded_at,extraction_status,relevant_pages,notes
롯데리츠,official_pdf,롯데리츠 2025년 Annual Report.pdf,,http://www.lottereit.co.kr/file/롯데리츠 2025년 Annual Report (interactive).pdf,.cache\v15\raw_documents\09709d2e000a1fdd601f7401ed18206bb4515ee9b89bc842d379218c290c206d.pdf,c95ee38663b59613b437f27ee56252966f63232d05d0147ff59144723d2db0ce,2026-07-15T05:48:20.473332+00:00,extracted_text,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,35,36,39,40,41,42,43,44,45,46,47,48,49,52,53,54,55,57","수집=cached_official_source; 추출=extracted_text; 전체 59페이지; OCR 페이지=없음; 근거=p.3 대한민국 대표 리츠로 자리매김하였습니다. 2025년말 운용자산은 | p.3 2.6조 원이며 주요 투자자산은 호텔 및 오피스(1개), 백화점(6개), 마트(5개), | p.3 2026년 1월 중 롯데호텔 L7홍대 자산을 신규 편입 예정으로 | p.4 롯데그룹의 우량 자산 Pipeline 보유 | p.4 자산 개수 | p.5 (자산매입가액 기준) | p.6 시장 선호 자산 | p.6 데이터센터 등 우량 자산 중 | p.6 시장 선호 자산 편입 검토 | p.7 “자산 가치 상승  → 가치 상승분을 활용한 | p.7 기존 편입자산의 평가가치 상승으로 추가 차입 여력 확보 | p.7 보유자산 Value-add 전략 기반 지속적인 자산가치 상승 도모 | p.8 안정적인 자산 운용과 임대료 수익기반으로 | p.9 자산운용을 바탕으로 안정적인 수익을 창출하고 있습니다. | p.9 또한, 롯데그룹의 다양한 자산을 Pipeline 삼아 지속적인 | p.10 그룹 내 우량 부동산 자산을 | p.10 100% 출자하여 설립한 자산관리회사로서, 부동산투자회사 (REITs)가 | p.10 자산보관 | p.11 주주소통 강화 목적 기업가치제고계획 | p.11 주주소통 강화 목적 기업가치제고계획 | p.12 非 리테일 자산의 지속 편입을 통해 포트폴리오를 다각화하고 | p.12 롯데리츠는 기존의 리테일 중심 자산 구조에서 벗어나고자 非리테일 자산 위주의 편입을 전략적으로 | p.12 추진하며 포트폴리오 다각화를 통한 안정적인 자산 운용에 힘쓰고 있습니다. 2026년 1월에는 롯데호텔 | p.13 롯데리츠는 국내 대표 상장 리츠로서, 규모의 성장뿐 아니라 자산 운용의 내실을 통한 | p.13 상승을 도모하고, 투자 자산 | p.13 보유자산의 개발 가능성을 | p.14 롯데자산개발 | p.14 롯데는 자산 기준 국내 5위의 그룹으로서 안정적인 재무구조를 기반으로 | p.14 자산 | p.15 강화하고 있으며, 부동산 자산관리 사업 및 개발사업 등을 통해 | p.15 자산의 효율성을 극대화할 수 있는 사업을 전개해 나갈 것입니다. | p.15 부동산 자산관리 사업 | p.16 총 자산 | p.16 주1) 롯데호텔 L7홍대는 '26년 1월 편입 예정으로 자산가치/실적 미반영 | p.16 2025년 말 기준 롯데리츠의 운용자산은 약 2.6조 원입니다. 영업수익은 | p.17 소재지 | p.17 그룹 우량 자산 편입 지속 확대 | p.17 롯데호텔 L7홍대 자산 추가 편입 예정 | p.18 보유자산 Value-add 강화 | p.18 향후 해당 자산의 잠재적 가치 상승을 도모할 수 있도록 환경개선공사를 실시함 | p.19 롯데리츠는 국내 우량자산의 지속적인 확충 및 | p.19 보유자산의 효율적인 운용, 관리 및 금리 | p.20 S&P Global Property USD Index | p.20 S&P Global Ex U.S. Property U.S. Dollar Index | p.20 S&P Developed Property Index | p.21 롯데그룹 및 그"
롯데리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:20.674196+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
한화리츠,official_website,공식 홈페이지,,https://www.hanwhareit.com,.cache\v15\source_documents\8c4e7ee02c34f89a6d742be1bb6e149ec0496a8b455d456ad3cf29b5d2ba17eb.html,c280f336d66bd8167a33ebbb125d90e7d87de703e6b92833a3ed0a7657e55320,2026-07-15T05:48:20.778981+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
한화리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:20.779085+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
ESR켄달스퀘어리츠,official_website,공식 홈페이지,,https://www.esrks-reit.com,.cache\v15\source_documents\3a970eae48ce043283ec0bab58387b24f3b88396e975851127a9273b13d4e2d6.html,bf4b67a83bca26560c2b75280c09502fc3979243da22644128ecb2218f523d64,2026-07-15T05:48:21.141604+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
ESR켄달스퀘어리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:21.141682+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
신한알파리츠,official_website,공식 홈페이지,,https://www.shalphareit.com,.cache\v15\source_documents\a15ff994adc69719bcc64106d1a77e024faafb49b9b7e8463e8e5b2b278e8ae8.html,8deb51d925e2fce9a1768a44b77aac08419f0f887122a9686702f4ee44065c9c,2026-07-15T05:48:21.157608+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
신한알파리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:21.157700+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
삼성FN리츠,official_website,공식 홈페이지,,http://www.samsungfnreit.com,.cache\v15\source_documents\be3753d79dd9e58f20f0552c9dd1cf8cdcc19f29bd1845dee70838820a5de5b8.html,e631d5378e4c8ee9c29ecc251fce1c3990b5740d53a3fa7f59f703073912a57f,2026-07-15T05:48:21.277679+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
삼성FN리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:21.277745+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
코람코더원리츠,official_website,공식 홈페이지,,http://www.koramcothe1.com,.cache\v15\source_documents\30db87bdd19dace560d9303efce11d665e1c85cce2bf64517569fd71d8b83ffc.html,3be71a3139dbec9e45330f45d184f4f2c8ebc07886e25981adb8b677d896c070,2026-07-15T05:48:21.308906+00:00,cached_official_source,HTML,공식 홈페이지에서 직접 연결된 PDF 0건 식별
코람코더원리츠,dart_filings,DART 정기공시·투자보고서,,https://dart.fss.or.kr/,,,2026-07-15T05:48:21.309005+00:00,manual_review_required,,DART 고유번호 미확인으로 문서 목록 자동 수집 보류
코람코라이프인프라리츠,official_website,공식 홈페이지,,http://koramcolifeinfra.com,,,2026-07-15T05:48:24.442176+00:00,download_failed,,3회 이내 재시도 후 실패 또는 오프라인 캐시 없음: RuntimeError
